wave,response
4560,0.000
4580,0.304
4600,0.576
4620,0.906
4640,0.994
4660,1.000
4680,0.969
4700,0.921
4720,0.871
4740,0.864
4760,0.804
4780,0.522
4800,0.186
4820,0.000
