wave,response
5340,0.000
5360,0.389
5380,0.672
5400,0.912
5420,1.000
5440,0.982
5460,0.953
5480,0.913
5500,0.850
5520,0.798
5540,0.759
5560,0.725
5580,0.631
5600,0.424
5620,0.213
5640,0.000
